"卷","章节","日文原版","网翻","台版","X系列","副标题"
"旧约11","第三章","水の都の船の上で","在水之都之船之上","在水都的船上","发生在水都的船上","Il_Mare_e_la_Sconfitta."
"旧约11","第四章","火船と砲火の戦い","","火船与炮火之战","火船与炮火的战争","Lotte_di_Liberazione."
"旧约11","第五章","アドリア海の女王","","亚德里亚海女王","亚德里亚海的女王","La_Regina_del_Mare_Adriático."
"旧约11","终　章","学園都市への帰還","","回到学园都市","到学园都市的返程","L'inizio_Nuovo......."
"","","","","","",""
"旧约12","序　章","白井黒子と枕とベッド","","白井黑子与床与枕头","白井黑子与床与枕头","Suffering_of_a_Negligee."
"旧约12","第一章","午前中授業のひだまり","","上午课堂的向阳处","上午课堂的向阳之处","Winter_Clothes."
"旧约12","第二章","罰ゲームはどんな味？","","惩罚游戏的滋味","品尝惩罚游戏的滋味","Pair_Contract."
"旧约12","第三章","ミサカとミサカの妹と","","御坂跟御坂妹妹","御坂和御坂的妹妹们","Sister_and_Sisters."
"旧约12","第四章","緩やかに交差する二組","","缓缓交错的两组","在此缓缓交错的两组","Boy_Meets_Girl(x2)."
"旧约12","第五章","曖昧に過ぎていく日没","","过于暧昧的日没","暧昧得过了头的日落","Hard_Way,Hard_Luck."
"旧约13","第六章","冷たい雨に打たれた街","","下着冷雨的街头","冰冷雨点滴落的街头","Battle_Preparation."
"旧约13","第七章","雨粒を血の色に変える","","血色的雨滴","雨滴染上了血的颜色","Revival_of_Destruction."
"旧约13","第八章","神の右席と虚数学区と","","神之右席与虚数学区","神之右席与虚数学区","Fuse=KAZAKIRI."
"旧约13","第九章","立ち塞がる障害の違い","","眼前不同的障碍","眼前的障碍是不同的","Two_Kinds_of_Enemies."
"旧约13","第十章","彼らのそれぞれの戦場","","他们各自的战场","走向他们各自的战场","The_Way_of_Light_and_Darkness."
"旧约13","终　章","正と負の進むべき道へ","","前往正与负的应走之路","前往正负的应走之路","The_Branch_Road."
"","","","","","",""
"SS","序　章","開戦前の穏やかな一日","开战前安稳祥和的一日","开战前平稳的一天","开战前安稳祥和的一日","Breakfast."
"SS","第一章","鍋と肉と食欲の大戦術","火锅与肉与食欲的战争","火锅与肉与食欲的大战术","锅与肉与食欲的大战争","A_Required_Thing."
"SS","第二章","灰色の無味乾燥な路地","枯燥无味的灰色小巷","灰色的无味干燥暗巷","枯燥又无味的灰色暗巷","Skill_Out."
"SS","第三章","イギリス清教の女子寮","英国清教的女子宿舍","英国清教的女子宿舍","在英国清教的女子宿舍","Russian_Roulette."
"SS","第四章","酔っ払った母親の事情","烂醉如泥的母亲","喝醉的母亲","烂醉如泥的母亲的现状","The_Two_Leading_Roles."
"SS","终　章","一つの意志と小さな鍵","某个意志与小关键","一个意志与小小的关键","一个意志与小小的关键","The_Present_Target."
"","","","","","",""
"旧约14","序　章","あまりにも暗い聖堂","","过暗的圣堂","黑暗无处不在的圣堂","Bread_and_Wine."
"旧约14","第一章","早すぎる変化の速度","","瞬息万变的速度","这是瞬息万变的速度","In_a_Long_Distance_Country."
"旧约14","第二章","決定打となる引き金","","决定的导火线","扣下决定一切的扳机","Muzzle_of_a_Gun."
"旧约14","第三章","魔術師から遠いもの","","离魔法师太遥远之物","离魔法师太遥远之物","Power_Instigation."
"旧约14","第四章","空を覆う鋼鉄の群れ","","覆盖天空的钢铁群","钢铁之群覆盖的天空","Cruel_Troopers."
"旧约14","终　章","その解は次の謎へと","","答案连接下一个谜","答案连接着下一个谜","Question."
"","","","","","",""
"旧约15","序　章","愛しい貴方へ極上の鉛弾を","","给亲爱的你最高级的子弹","终极子弹献给亲爱的你","Management."
"旧约15","第一章","誰にも聞こえぬ確かな号砲","","谁也听不到的确切信号","谁也听不到的确切信号","Compass."
"旧约15","第二章","ゆっくりと動き出した者達","","开始行动的人们","慢慢地开始行动的人们","Hikoboshi_II."
"旧约15","第三章","超能力を封じられた土地で","","超能力被封住的土地","在超能力被封住的土地","Reformatory."
"旧约15","第四章","自嘲と誇りの紙一重の違い","","自嘲与自夸只在一线之间","自嘲与自夸在一字之间","Enemy_Level5."
"旧约15","第五章","最強の黒い翼に打ち勝つ者","","战胜最强黑色羽翼的人","战胜最强黑色羽翼之人","Dark_Matter."
"旧约15","终　章","生き残った者が得る戦利品","","存活者的战利品","存活者所得到的战利品","Nano_Size_Data."
"","","","","","",""
"旧约16","序　章","指導者としての立ち位置","","身为指导者的立场","这是身为指导者的立场","Stage_in_Roma."
"旧约16","第一章","平穏から破滅へ続く道筋","","由平稳走向毁灭的过程","由平稳走向毁灭的过程","Battle_of_Collapse."
"旧约16","第二章","敗北から立ち上がる者達","","从失败中屹立的人们","从失败中站起来的人们","Flere210."
"旧约16","第三章","桁の違う怪物同士の死闘","","能力悬殊的众怪物殊死斗","能力悬殊的众怪物死斗","Saint_VS_Saint."
"旧约16","第四章","誰が誰を守り守られるか","","谁能守护谁","谁又会是谁的守护者呢","Leader_is_All_Members."
"旧约16","终　章","さらなる騒乱への案内人","","带来更大混乱的人","将混乱进一步扩大的人","True_Target_is......"
"","","","","","",""
"SS2","第一章","札束とバトルを求める者達","寻求钞票和战斗的人们","追求钞票与冲突的人们","一群寻求钞票与冲突的人们","一月、第三个星期五"
"SS2","第二章","北欧神話圏の戦士と踊り子","北欧神话圈里战士和舞者","北欧神话圈的战士与舞娘","北欧神话圈里的战士与舞者","二月、第一个星期五"
"SS2","第三章","父親の願いは接点と交流を","父亲的愿望是共同点与交流","父亲的愿望促成了接点与交流","父亲的愿望促成接点与交流","二月、第四个星期五"
"SS2","第四章","七人の内の七番目の実力は","七人中的第七实力","七人中第七名的实力","七人之中作为第七名的实力","三月、第三个星期五"
"SS2","第五章","世界に足りないものは何か","世界上不足的东西是什么","这世界缺乏的是什么","这世界缺乏的究竟是什么呢","四月、第一个星期五"
"SS2","第六章","美容院にて世間話と核心を","美容院里的闲聊主题","在美容院的闲聊与核心","美容院里闲聊的话题的核心","四月、第四个星期五"
"SS2","第七章","ある黒幕の下準備と後始末","某次幕后准备与善后","黑幕的事前准备与善后","一场黑幕的事前准备与善后","五月、第二个星期五"
"SS2","第八章","くノ一は突然出現するもの","女忍者突然出现","女忍者突然出现","突然就这样冒出来的女忍者","五月、第四个星期五"
"SS2","第九章","電子に現世の関係性は不要","电子内不需要现代关系","电子不需要与现实世界的关系性","电子世界内不需要现实关系","六月、第二个星期五"
"SS2","第十章","一夜の誘いは乗るか蹴るか","一夜的邀请是接受还是要拒绝","是否接受一夜的诱惑","一夜的诱惑要接受还是拒绝","七月、第一个星期五"
"SS2","第十一章","例外はどんな分野にもある","例外不管在哪个领域都会有","每个领域都有例外","例外不管在哪个领域都会有","七月、第二个星期五"
"SS2","第十二章","狙撃手と爆弾魔による討論","狙击手和炸弹魔之间的讨论","狙击手与炸弹魔的讨论","狙击手与炸弹魔之间的讨论","七月、第四个星期五"
"SS2","第十三章","彼女達の集団的占いの精度","关于她们集团的占卜精度","她们的集团占卜准确度","关于她们的集团占卜准确度","八月、第四个星期五"
"SS2","第十四章","門番と侵入者は踊り踊られ","门卫和入侵者的攻防","守门员与入侵者的斗法","这是看门人与入侵者的斗法","九月、第三个星期五"
"SS2","第十五章","芸術は天才と変人を分ける","艺术能区分天才和怪人","艺术区分了天才与怪人","艺术可以区分出天才与怪人","九月、第四个星期五"
"SS2","第十六章","母に見えないのは訳がある","妈妈看不见是有理由的","看不出是母亲的理由","看不出是母亲这是有原因的","九月、第五个星期五"
"SS2","第十七章","Ｂ級の映画と未研磨の原石","B级电影和未研磨的原石","B级电影与未经研磨的原石","Ｂ级电影与未经研磨的原石","十月、第一个星期五"
"SS2","第十八章","その名を継ぐにふさわしき","适合继承此名","足可继承其名之人","谁是能够继承这个名字的人","十月、第一个星期五"
"SS2","第十九章","輝く原石と血みどろの利権","闪亮的原石与染血的权利","闪耀的原石与染血的利益","闪耀的原石与染上血的利益","十月、第二个星期五"
"SS2","第二十章","複数同時悲劇への対応とは","对同一时刻复数悲剧的应对","同时发生多起悲剧的对应","同一时刻的多起悲剧的应对","十月、第二个星期五"
"SS2","第二十一章","正体など判断できない者達","无数判断真正身份之人","无法判断身分的人们","无法判断其真实身份的人们","十月、第二个星期五"
"SS2","第二十二章","個人にその結末は掴めない","个人抓不到那结果","个人无法掌握结果","作为个人无法掌握它的结局","十月、第二个星期五"
"","","","","","",""
"旧约17","第一章","何気ないやり取りの違和","无意中交接的违和","不经意对话中的异样","不经意对话中的异样","Irregular_Spark."
"旧约17","第二章","雲の上に浮かぶ鋼の戦場","浮云上的钢之战场","漂浮云端的钢铁战场","漂浮云端的钢铁战场","Sky_Bus_365."
"旧约17","第三章","イギリス迷路の魔術結社","英国迷踪里的魔法结社","英国迷宫的魔法结社","英国迷宫的魔法结社","N∴L∴"
"旧约17","第四章","その剣は戰と災厄を招く","招来战争与灾厄之剑","招致战争与灾祸之剑","招致战争与灾祸之剑","Sword_of_Mercy."
"旧约17","终　章","それぞれの思惑と胸の内","各自的思绪与心情","各方的想法与心思","每个人的想法与心思","War_in_Britain."
"旧约18","第五章","傭兵と騎士の邂逅と激突","佣兵与骑士的邂逅与冲突","佣兵与骑士的邂逅和冲突","佣兵与骑士的邂逅与冲突","Another_Hero."
"旧约18","第六章","騎士と王女の防衛線破壊","骑士与王女的防卫线破坏","骑士与皇女的防卫线破坏","骑士与王女的防卫线破坏","Safety_in_Subway."
"旧约18","第七章","王女と女王の素敵な悪党","王女与女王出色的恶党","皇女与女王的最佳恶徒","王女与女王的出色的恶党","Curtana_Original."
"旧约18","第八章","女王と国家の国民総選挙","女王与国家的国民大选","女王与国家的国民公投","女王与国家的国民总公投","Union_Jack."
"旧约18","终　章","国家と黒幕の更なる強敵","国家与幕后更强的敌人","国家与黑幕的更强敌手","国家与黑幕的更强的敌人","Next_Step."
"","","","","","",""
"旧约19","序　章","悪党の退屈なやりとり","恶党们无聊的交易","坏蛋的无聊交易","恶党们之间无聊的交易","Key_Shop."
"旧约19","第一章","善意ぐらい信じている","姑且相信善意","至少还相信善意","姑且相信还存在着善意","Dark_Hero."
"旧约19","第二章","単純かつ複雑な問題点","简单又复杂的问题","既单纯又复杂的疑点","一个简单又复杂的问题","V.S._Calamity."
"旧约19","第三章","破滅はさらに道を開く","毁灭开拓出更宽的道路","毁灭将开创新局","毁灭开拓出更宽的道路","Battle_to_Die."
"旧约19","第四章","地獄へ誘う二つの怪物","诱人下地狱的两只怪物","诱人下地狱的两只怪物","诱人下地狱的两只怪物","Dragon(≠Angel)."
"旧约19","终　章","悲劇では終わらせない","悲剧不是终结","不会以悲剧结束","这一次不会以悲剧结束","Brave_in_Hand."
"","","","","","",""
"旧约20","序　章","火薬が鼻につく天空","火药味刺鼻的天空","硝烟弥漫的天空","火药味刺鼻的天空","Shooting_Game."
"旧约20","第一章","善と悪、各々の入国","善与恶，各自的入境","善与恶，各自入境","善与恶，各自入境","World_War_III."
"旧约20","第二章","侵攻と逆襲の幕開け","进攻与反攻的开幕","侵略与反击的揭幕","侵略与反击的揭幕","Angel_Stalker."
"旧约20","第三章","疑念の壁と対峙せよ","与疑念的墙壁的对峙","与疑心之墙对峙","与疑心之墙的对峙","Great_Complex."
"旧约20","第四章","ここからが反撃の時","此时正是反击之时","接下来正是反击时机","此刻正是反击之时","Heros_Congregate."
"旧约21","第五章","戦場という複雑な盤","名为战场的复杂棋局","名为战场的复杂棋局","名为战场的复杂棋局","Enter_Project."
"旧约21","第六章","展開される本物の闇","逐渐展开的真正黑暗","即将展开的真正黑暗","逐渐展开的真正黑暗","Up_the_Castle."
"旧约21","第七章","天空に皆殺しの天使","屠尽天空的嗜杀天使","空中的赶尽杀绝天使","屠尽天空的嗜杀天使","MISHA_the_Angel_""GABRIEL""."
"旧约21","第八章","彼らの多角的な反撃","努力之人的多边反击","他们的多方反击","努力之人的多边反击","Combination."
"旧约22","第九章","巨大な歪みを正す時","巨大扭曲修正之时","矫正巨大的扭曲之际","巨大扭曲修正之时","Broken_Right_Hand."
"旧约22","第十章","最終術式下準備完了","最终术式准备完成","最终术式下准备完毕","最终术式准备完成","Rebirth_the..."
"旧约22","第十一章","黄金に輝く天空にて","那金色闪耀之天空","闪耀黄金光芒的天空中","那金色闪耀之天空","Star_of_Bethlehem."
"旧约22","第十二章","北極海の最後の決着","北极海的最终决战","北极海的最后决战","北极海的最终决战","Last_Fight."
"旧约22","终　章","静寂と少年の終わり","静寂与少年之结局","寂静与少年的终点","静寂与少年之结局","Silent_to_Small_Fire."
"","","","","","",""
"新约01","序　章","何かの手違いで主役になった人達","由于某些错误而成为主角的人们","阴错阳差成为主角的人们","阴差阳错而成为主角的人们","War?"
"新约01","第一章","“彼”のいない平和的な学園都市","没有“那个人”的和平的学园都市","没有「他」的和平学园都市","没有“他”的和平学园都市","City."
"新约01","第二章","これから先の事、選択するべき事","接下来，就是必须做出选择的事情了","今后的事、该做选择的事","今后的事，与该做选择的事","Dream."
"新约01","第三章","わずかな余白と次へと繋がる予兆","些微的空白与联系未来的预兆","短暂的空白及连接下一步的预兆","短暂空白及连接未来的预兆","Girl."
"新约01","第四章","善人になる権利と突っぱねる権利","成为善人的权利与拒绝的权利","成为善人的权利与拒绝的权利","成为善人或选择拒绝的权利","Black."
"新约01","第五章","たとえヒーローにはなれなくても","即使无法成为英雄","即使当不了英雄","当不成英雄，而这又如何呢","Knight(s)."
"新约01","终　章","ささやかなる祝宴と招かれる暗雲","短暂的庆祝与招来的阴霾","小小的庆祝与招来的阴霾","小小的庆祝与之招来的阴霾","Witch."
"","","","","","",""
"新约02","序　章","使途不明、それでも脅威","用途不明，威胁仍在","用途不明，但仍是威胁","用途不明，威胁仍在","Radiosonde_Castle."
"新约02","第一章","新たな領域、のちに魔術","新的领域，魔法到来","新的领域，接着是魔法","新的领域，魔法到来","Lecture_One."
"新约02","第二章","変わらぬ日々、時折異質","不变之日，时折异质","不变的日子，偶而异质","不变之日，偶尔异质","Lecture_Two."
"新约02","第三章","受け入れる者、だが不穏","被接受者，然而不稳","接受的成员，仍不稳定","被接受者，仍不稳定","Lecture_Three."
"新约02","第四章","招待状、そしてその名は","招待邀请，其名谓之","邀请函，而它的名字是","邀请之函，而其名为","Lecture_Four (and_More)."
"新约02","终　章","休息、しかし暗部で交錯","稍事休息，暗部交错","休息，但却在暗部交错","稍事休息，暗部交错","Birdway's_Speech."
"","","","","","",""
"新约03","序　章","五〇番目の州で","于第五十个州","位于第五十州","于第五十个州","Crisis_of_Blue_Ocean."
"新约03","第一章","先制攻撃はどっちがやる？","何方先发制人","哪边会先发制人？","哪边会先发制人？","First_Contact."
"新约03","第二章","起爆剤","起爆剂","起爆剂","起爆剂","Natural_Bomb."
"新约03","第三章","灼熱の溶岩の狙い","灼热熔岩的目标","灼热熔岩的目的","灼热熔岩的目的","Case_to_War."
"新约03","第四章","孤立とルールの崩壊","孤立与规则的崩坏","孤立与规则的毁灭","孤立与规则的崩坏","Trident."
"新约03","第五章","その強さは何のためにあるべきか","这份强大为何而生","强大力量应该为何存在","这份强大为何而生","The_Old_Glory."
"新约03","终　章","頼りになるバードウェイ","可靠的雷薇尼亚·芭德薇","可靠的柏德蔚","可靠的芭德薇","Queen_Period."
"","","","","","",""
"新约04","","Main.01","Main.01","Main.01","Main.01",""
"新约04","","Sub.02","Sub.02","Sub.02","Sub.02",""
"新约04","","Sub.03","Sub.03","Sub.03","Sub.03",""
"新约04","","Sub.04","Sub.04","Sub.04","Sub.04",""
"新约04","","Sub.05","Sub.05","Sub.05","Sub.05",""
"新约04","","Sub.06","Sub.06","Sub.06","Sub.06",""
"新约04","","Period.07","Period.07","Period.07","Period.07",""
"新约04","","Sub.08","Sub.08","Sub.08","Sub.08",""
"新约04","","Sub.09","Sub.09","Sub.09","Sub.09",""
"新约04","","Sub.10","Sub.10","Sub.10","Sub.10",""
"新约04","","Main.11","Main.11","Main.11","Main.11",""
"新约04","","Main.12","Main.12","Main.12","Main.12",""
"新约04","","Sub.13","Sub.13","Sub.13","Sub.13",""
"新约04","","Sub.14","Sub.14","Sub.14","Sub.14",""
"新约04","","Sub.15","Sub.15","Sub.15","Sub.15",""
"新约04","","Sub.16","Sub.16","Sub.16","Sub.16",""
"新约04","","Sub.17","Sub.17","Sub.17","Sub.17",""
"新约04","","Sub.18","Sub.18","Sub.18","Sub.18",""
"新约04","","Sub.19","Sub.19","Sub.19","Sub.19",""
"新约04","","Main.20","Main.20","Main.20","Main.20",""
"新约04","","Period.21","Period.21","Period.21","Period.21",""
"新约04","","Sub.22","Sub.22","Sub.22","Sub.22",""
"新约04","","Sub.23","Sub.23","Sub.23","Sub.23",""
"新约04","","Sub.23","Sub.23","Sub.23","Sub.23",""
"新约04","","Sub.24","Sub.24","Sub.24","Sub.24",""
"新约04","","Sub.25","Sub.25","Sub.25","Sub.25",""
"新约04","","Sub.26","Sub.26","Sub.26","Sub.26",""
"新约04","","Sub.27","Sub.27","Sub.27","Sub.27",""
"新约04","","Sub.28","Sub.28","Sub.28","Sub.28",""
"新约04","","Sub.29","Sub.29","Sub.29","Sub.29",""
"新约04","","Main.30","Main.30","Main.30","Main.30",""
"新约04","","Main.31","Main.31","Main.31","Main.31",""
"新约04","","Period.32","Period.32","Period.32","Period.32",""
"新约04","","Sub.33","Sub.33","Sub.33","Sub.33",""
"新约04","","A_Cardinal_Error.34","A_Cardinal_Error.34","A_Cardinal_Error.34","A_Cardinal_Error.34",""
"新约04","","接続過程","连接过程","连接过程","连接过程",""
"新约04","第n章","たとえ死があったとしても","即使死亡","即使存在着死亡","即使存在着死亡","Dead_to..."
"新约04","","深刻な破損","严重的损坏","严重的损伤","严重的损坏","ﾙ9ﾆ1bｶｹrｻ991ﾏ"
"","","","","","",""
"新约05","序　章","最大の命題","最大的命题","最大的命题","最大的命题","Question_01."
"新约05","第一章","気がつけば開幕","回过神来已经开幕了","回神时已经开幕","回神时已经开幕","Open_the_Festival."
"新约05","第二章","本当の敵は誰なのか","真正的敌人是谁","谁是真正的敌人","谁是真正的敌人","Secret_Promise."
"新约05","第三章","開門","开门","开门","开门","Impregnable."
"新约05","第四章","異形から見た平穏","异形眼中的平稳","异形眼中的平稳","异形眼中的平稳","Release_Monster."
"新约05","终　章","箍を外す","无拘无束","解开束缚","解开束缚","Install......Completion"
"新约06","第五章","きっと正義はどこにでも","处处皆正义","正义必定无所不在","无论在哪里都存在着正义","Black_to_Light."
"新约06","第六章","怪物、怪物、怪物、怪物","怪物、怪物、怪物、怪物","怪物、怪物、怪物、怪物","怪物，怪物，怪物，怪物","All_Bad_Stars."
"新约06","第七章","主人公である必要はない","没有作为主角的必要","不需要当主角","没有作为故事主角的必要","Girls_Battle_Talk."
"新约06","第八章","この世で最も単純な構図","此世间最单纯的构图","世上最单纯的构图","这是世界上最单纯的构图","One_on_One."
"新约06","终　章","次の喧嘩を始めましょう","开始下一场争斗吧","来打下一场架吧","让我们开始下一场争斗吧","Next_Batter_Circle."
"","","","","","",""
"新约07","序　章","甘い匂いの不可侵領域","甜美气息的玫瑰花园","充满甜香的禁忌领域","充满甜香的禁忌领域","Girl's_School."
"新约07","第一章","明王の壇","明王之坛","明王之坛","明王之坛","Foreign_matter."
"新约07","第二章","彷徨う獣と檻の外","徘徊的野兽与笼外","彷徨野兽与牢笼之外","彷徨野兽与牢笼之外","Dead_Girl."
"新约07","第三章","？？？","？？？","？？？","？？？","Agitate_Halation."
"新约07","第四章","予定調和の破壊","对预定协调的破坏","预定和谐的破坏","预定和谐的破坏","Total_Hero."
"新约07","终　章","終わってみれば","试着终结的话……","一旦试着结束","一旦试着结束","to_the_Main_Line."
"","","","","","",""
"新约08","序　章","魔術の神の帰還","魔法之神的归还","魔法之神的回归","魔法之神的回归","None_Signal_Island."
"新约08","第一章","平穏の裏の準備","平稳之下的准备","平稳之后的准备","平稳之下的准备","A_Terrestial_Globe."
"新约08","第二章","探査の内の箱庭","探查之内的盆景","探查之内的箱庭","探查之内的箱庭","Area_No.23."
"新约08","第三章","確定の隅の疑念","确定角落的疑问","确定之隅的疑念","确定之隅的疑念","Turning_Point."
"新约08","第四章","豊穣の奥の災厄","丰收尽头的灾祸","丰饶之中的灾厄","丰饶之中的灾厄","Goddess_of_Fertility."
"新约08","终　章","槍","枪","长枪","枪","Lance_of_""Gungnir""."
"新约09","序　章","ある世界の終わり","某个世界的终结","某个世界的终结","某个世界的终结","Game_Over."
"新约09","第五章","最果てよりも遠く","比世界尽头还要遥远","比尽头更加遥远","比尽头还要遥远","Point_Unknown."
"新约09","第六章","移ろい揺らぐ世界","更迭动荡的世界","变迁摇摆的世界","更迭动荡的世界","Version_Alpha."
"新约09","第六章","移ろい揺らぐ世界","更迭动荡的世界","变迁摇摆的世界","更迭动荡的世界","Version_Beta."
"新约09","","…","…","…","…","…"
"新约09","第六章","移ろい揺らぐ世界","更迭动荡的世界","变迁摇摆的世界","更迭动荡的世界","Version_Omega."
"新约09","第七章","『平凡な高校生』","“平凡的高中生”","「平凡高中生」","“平凡高中生”","Black_or_White."
"新约09","第八章","少女位相、幾千億","少女相位，几千亿","少女相位，几千亿","少女相位，几千亿","Create_V.S._Break."
"新约09","终　章","認めるのか、否か","你接受吗，不接受吗","认同，或者否定","接受吗，不接受吗","Continue."
"新约10","序　章","とある少年は人類の敵となりて","成为人类公敌的少年","少年成为人类公敌","少年成为人类公敌","Introduction_00."
